Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-02-08,In Bruges,2008,https://boxd.it/YKg75,3.5,,,2019-09-23
2020-02-08,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/YKfML,4.5,,,2019-09-25
2020-02-08,Boyhood,2014,https://boxd.it/YKfxB,4.5,,,2019-09-28
2020-02-08,Donnie Darko,2001,https://boxd.it/YKfLN,4,,,2019-09-30
2020-02-08,Joker,2019,https://boxd.it/YKg6h,4,,,2019-10-05
2020-02-08,The Amazing Spider-Man,2012,https://boxd.it/YKgb7,3.5,,,2019-10-05
2020-02-08,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/YKfIJ,3,,,2019-10-09
2020-02-08,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/YKfIT,3,,,2019-10-09
2020-02-08,Nightcrawler,2014,https://boxd.it/YKfOn,4.5,,,2019-10-10
2020-02-08,Solo: A Star Wars Story,2018,https://boxd.it/YKfTn,3,,,2019-10-10
2020-02-08,The Big Short,2015,https://boxd.it/YKfFP,4,,,2019-10-12
2020-02-08,Vice,2018,https://boxd.it/YKg3R,3.5,,,2019-10-12
2020-02-08,Jurassic Park,1993,https://boxd.it/YKfxV,3.5,,,2019-10-13
2020-02-08,Moneyball,2011,https://boxd.it/YKfAP,4.5,,,2019-10-14
2020-02-08,Booksmart,2019,https://boxd.it/YKfER,4,,,2019-10-16
2020-02-08,No Country for Old Men,2007,https://boxd.it/YKfYx,4.5,,,2019-10-17
2020-02-08,Foxcatcher,2014,https://boxd.it/YKfyz,4,,,2019-10-19
2020-02-08,Guy and Madeline on a Park Bench,2009,https://boxd.it/YKfD5,3,,,2019-10-20
2020-02-08,Ex Machina,2015,https://boxd.it/YKfYd,4,,,2019-10-21
2020-02-08,Annihilation,2018,https://boxd.it/YKfOd,4,,,2019-10-22
2020-02-08,Venom,2018,https://boxd.it/YKfC7,2.5,,,2019-10-23
2020-02-08,The Amazing Spider-Man 2,2014,https://boxd.it/YKfI5,2,,,2019-10-23
2020-02-08,Thor: The Dark World,2013,https://boxd.it/YKfJd,2.5,,,2019-10-23
2020-02-08,War Dogs,2016,https://boxd.it/YKfJn,3,,,2019-10-23
2020-02-08,Children of Men,2006,https://boxd.it/YKfK1,4,,,2019-10-23
2020-02-08,Batman v Superman: Dawn of Justice,2016,https://boxd.it/YKfPb,2.5,,,2019-10-23
2020-02-08,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/YKfST,3.5,,,2019-10-23
2020-02-08,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/YKfUF,2.5,,,2019-10-23
2020-02-08,Captain Marvel,2019,https://boxd.it/YKfUZ,3,,,2019-10-23
2020-02-08,Eragon,2006,https://boxd.it/YKfWh,2,,,2019-10-23
2020-02-08,Captain America: The First Avenger,2011,https://boxd.it/YKfX5,3,,,2019-10-23
2020-02-08,Ant-Man,2015,https://boxd.it/YKfYH,3,,,2019-10-23
2020-02-08,Ant-Man and the Wasp,2018,https://boxd.it/YKg0X,3,,,2019-10-23
2020-02-08,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/YKgaD,3.5,,,2019-10-23
2020-02-08,Justice League,2017,https://boxd.it/YKgbh,2.5,,,2019-10-23
2020-02-08,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,https://boxd.it/YKgbr,2.5,,,2019-10-23
2020-02-08,127 Hours,2010,https://boxd.it/YKfFl,4,,,2019-10-25
2020-02-08,The Pianist,2002,https://boxd.it/YKfMr,3.5,,,2019-10-25
2020-02-08,2001: A Space Odyssey,1968,https://boxd.it/YKg3H,4,,,2019-10-25
2020-02-08,Black Swan,2010,https://boxd.it/YKgaX,4,,,2019-10-29
2020-02-08,Toy Story,1995,https://boxd.it/YKfzx,4.5,,,2019-10-31
2020-02-08,Aquaman,2018,https://boxd.it/YKfEH,2.5,,,2019-10-31
2020-02-08,Toy Story 3,2010,https://boxd.it/YKfVX,4.5,,,2019-10-31
2020-02-08,Princess Mononoke,1997,https://boxd.it/YKfzR,4,,,2019-11-01
2020-02-08,The Prestige,2006,https://boxd.it/YKfYR,4.5,,,2019-11-02
2020-02-08,Slumdog Millionaire,2008,https://boxd.it/YKfx7,4,,,2019-11-06
2020-02-08,Spider-Man: Homecoming,2017,https://boxd.it/YKfKP,3.5,,,2019-11-06
2020-02-08,Zodiac,2007,https://boxd.it/YKfW7,3.5,,,2019-11-06
2020-02-08,Steve Jobs,2015,https://boxd.it/YKfKb,4,,,2019-11-08
2020-02-08,The King's Speech,2010,https://boxd.it/YKfFb,4.5,,,2019-11-09
2020-02-08,Arctic,2018,https://boxd.it/YKg5j,3.5,,,2019-11-10
2020-02-08,Shaun of the Dead,2004,https://boxd.it/YKfSp,4.5,,,2019-11-11
2020-02-08,Hot Fuzz,2007,https://boxd.it/YKfVD,4,,,2019-11-11
2020-02-08,The World's End,2013,https://boxd.it/YKfBj,4,,,2019-11-13
2020-02-08,8 Mile,2002,https://boxd.it/YKfPv,3.5,,,2019-11-14
2020-02-08,Napoleon Dynamite,2004,https://boxd.it/YKfTd,3,,,2019-11-15
2020-02-08,Platoon,1986,https://boxd.it/YKgat,4,,,2019-11-16
2020-02-08,District 9,2009,https://boxd.it/YKfzd,4,,,2019-11-17
2020-02-08,The Place Beyond the Pines,2012,https://boxd.it/YKfHr,3.5,,,2019-11-20
2020-02-08,Drive,2011,https://boxd.it/YKg6V,4.5,,,2019-11-20
2020-02-08,Fantastic Mr. Fox,2009,https://boxd.it/YKfVN,4,,,2019-11-22
2020-02-08,Rushmore,1998,https://boxd.it/YKfCr,3.5,,,2019-11-24
2020-02-08,Moonrise Kingdom,2012,https://boxd.it/YKfH7,4,,,2019-11-24
2020-02-08,Isle of Dogs,2018,https://boxd.it/YKg17,4,,,2019-11-24
2020-02-08,The Royal Tenenbaums,2001,https://boxd.it/YKfNz,4,,,2019-11-26
2020-02-08,The Grand Budapest Hotel,2014,https://boxd.it/YKfKZ,4,,,2019-11-27
2020-02-08,The Lego Movie,2014,https://boxd.it/YKfF1,4,,,2019-11-29
2020-02-08,The Lego Batman Movie,2017,https://boxd.it/YKfUv,3.5,,,2019-11-30
2020-02-08,Moonlight,2016,https://boxd.it/YKfZl,4,,,2019-11-30
2020-02-08,Wind River,2017,https://boxd.it/YKg1V,4,,,2019-11-30
2020-02-08,First Reformed,2017,https://boxd.it/YKg3n,4,,,2019-11-30
2020-02-08,The Fugitive,1993,https://boxd.it/YKfxL,3,,,2019-12-01
2020-02-08,GoodFellas,1990,https://boxd.it/YKgbL,3.5,,,2019-12-02
2020-02-08,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/YKfAF,2,,,2019-12-07
2020-02-08,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/YKfBt,2.5,,,2019-12-07
2020-02-08,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/YKfBD,3.5,,,2019-12-07
2020-02-08,Rogue One: A Star Wars Story,2016,https://boxd.it/YKfT3,3.5,,,2019-12-08
2020-02-08,Knives Out,2019,https://boxd.it/YKg9Z,4,,,2019-12-13
2020-02-08,Hacksaw Ridge,2016,https://boxd.it/YKfKF,4,,,2019-12-14
2020-02-08,Howl's Moving Castle,2004,https://boxd.it/YKfRh,4,,,2019-12-14
2020-02-08,Capote,2005,https://boxd.it/YKfTH,3.5,,,2019-12-14
2020-02-08,Baby Driver,2017,https://boxd.it/YKfU1,4,,,2019-12-14
2020-02-08,The Favourite,2018,https://boxd.it/YKg0D,4,,,2019-12-14
2020-02-08,The Empire Strikes Back,1980,https://boxd.it/YKg7T,4,,,2019-12-14
2020-02-08,Shoplifters,2018,https://boxd.it/YKg83,4,,,2019-12-14
2020-02-08,Return of the Jedi,1983,https://boxd.it/YKg9l,3,,,2019-12-14
2020-02-08,The Disaster Artist,2017,https://boxd.it/YKfRL,4,,,2019-12-16
2020-02-08,Star Wars: The Force Awakens,2015,https://boxd.it/YKfLX,4,,,2019-12-18
2020-02-08,Star Wars: The Last Jedi,2017,https://boxd.it/YKfM7,4,,,2019-12-21
2020-02-08,Star Wars: The Rise of Skywalker,2019,https://boxd.it/YKfMh,3,,,2019-12-21
2020-02-08,Looper,2012,https://boxd.it/YKfCh,4,,,2019-12-22
2020-02-08,The Blues Brothers,1980,https://boxd.it/YKg7J,3.5,,,2019-12-25
2020-02-08,The Adventures of Tintin,2011,https://boxd.it/YKgbB,3.5,,,2019-12-25
2020-02-08,Little Women,2019,https://boxd.it/YKfQt,4.5,,,2019-12-27
2020-02-21,Lady Bird,2017,https://boxd.it/ZXVIB,4.5,Yes,,2019-12-27
2020-02-08,Snowpiercer,2013,https://boxd.it/YKfGD,4,,,2020-01-05
2020-02-08,Parasite,2019,https://boxd.it/YKg4F,4.5,,,2020-01-08
2020-02-08,Memories of Murder,2003,https://boxd.it/YKfRV,4,,,2020-01-10
2020-02-08,Ford v Ferrari,2019,https://boxd.it/YKfIp,4,,,2020-01-12
2020-02-08,Star Wars,1977,https://boxd.it/YKg6r,4,,,2020-01-12
2020-02-08,Hunt for the Wilderpeople,2016,https://boxd.it/YKfXT,3.5,,,2020-01-15
2020-02-08,Toy Story 4,2019,https://boxd.it/YKfJ3,4,,,2020-01-17
2020-02-08,Jojo Rabbit,2019,https://boxd.it/YKfNf,4.5,,,2020-01-17
2020-02-08,1917,2019,https://boxd.it/YKg91,4.5,,,2020-01-18
2020-02-08,The Farewell,2019,https://boxd.it/YKg9v,4,,,2020-01-22
2020-02-08,The Two Popes,2019,https://boxd.it/YKg8H,4,,,2020-01-23
2020-02-08,Pain and Glory,2019,https://boxd.it/YKg8n,4,,,2020-01-24
2020-02-08,The Interview,2014,https://boxd.it/YKfNT,2,,,2020-01-25
2020-02-08,Get Out,2017,https://boxd.it/YKg0t,4,,,2020-01-26
2020-02-08,Us,2019,https://boxd.it/YKg5t,3.5,,,2020-01-26
2020-02-08,Tolkien,2019,https://boxd.it/YKfQX,3,,,2020-01-27
2020-02-08,The Lighthouse,2019,https://boxd.it/YKg7f,4,,,2020-01-28
2020-02-08,The Souvenir,2019,https://boxd.it/YKg5D,3.5,,,2020-01-30
2020-02-08,"I, Daniel Blake",2016,https://boxd.it/YKg1r,4,,,2020-01-31
2020-02-08,Portrait of a Lady on Fire,2019,https://boxd.it/YKg9b,3.5,,,2020-01-31
2020-02-08,Uncut Gems,2019,https://boxd.it/YKg2J,3.5,,,2020-02-04
